0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:08:44 -0300] "GET /Clinica/ADM/ADM_Lista.jsp HTTP/1.1" 200 46955
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:09:14 -0300] "POST /Clinica/Animal_User/Cadastrar_animal.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:09:14 -0300] "POST /Clinica/Animal_User/Pagina_animal.jsp? HTTP/1.1" 200 33473
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:09:14 -0300] "GET /Clinica/Animal_User/CSS.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:09:28 -0300] "GET /Clinica/ADM/ADM_Lista.jsp HTTP/1.1" 200 47657
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:09:58 -0300] "POST /Clinica/ADM/Alterar_animal.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:09:58 -0300] "GET /Clinica/ADM/ADM_Lista.jsp?conf=alterado HTTP/1.1" 200 47702
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:10:18 -0300] "POST /Clinica/ADM/Deletar_animal.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:10:18 -0300] "GET /Clinica/ADM/ADM_Lista.jsp?conf=deletado HTTP/1.1" 200 47000
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:10:35 -0300] "POST /Clinica/Animal_User/Pagina_animal.jsp? HTTP/1.1" 200 32726
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:10:35 -0300] "GET /Clinica/Animal_User/CSS.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:12:12 -0300] "POST /Clinica/ADM/Alterar_animal.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:12:12 -0300] "GET /Clinica/ADM/ADM_Lista.jsp?conf=alterado HTTP/1.1" 200 47000
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:15:29 -0300] "GET /Clinica/ADM/ADM_Lista.jsp?conf=alterado HTTP/1.1" 200 47010
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:15:35 -0300] "POST /Clinica/ADM/Alterar_animal.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:15:35 -0300] "GET /Clinica/ADM/ADM_Lista.jsp?conf=alterado HTTP/1.1" 200 47010
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:15:57 -0300] "POST /Clinica/ADM/Alterar_animal.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:15:57 -0300] "GET /Clinica/ADM/ADM_Lista.jsp?conf=alterado HTTP/1.1" 200 47025
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:16:07 -0300] "POST /Clinica/ADM/Alterar_animal.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:16:07 -0300] "GET /Clinica/ADM/ADM_Lista.jsp?conf=alterado HTTP/1.1" 200 47025
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:16:38 -0300] "POST /Clinica/ADM/Deletar_animal.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:16:38 -0300] "GET /Clinica/ADM/ADM_Lista.jsp?conf=deletado HTTP/1.1" 200 46351
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:17:14 -0300] "GET /Clinica/ADM/ADM_Lista.jsp?conf=deletado HTTP/1.1" 200 46351
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:17:17 -0300] "POST /Clinica/Animal_User/Pagina_animal.jsp? HTTP/1.1" 200 32726
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:17:17 -0300] "GET /Clinica/Animal_User/CSS.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:17:23 -0300] "POST /Clinica/Animal_User/Pagina_animal.jsp?conf=deleta HTTP/1.1" 200 32726
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:17:23 -0300] "GET /Clinica/Animal_User/CSS.css HTTP/1.1" 404 799
